Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (30),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Procellariiformes,Procellariidae,Chatham Petrel,Pterodroma_axillaris,Pterodroma_axillaris,Pterodroma axillaris,Pterodroma_axillaris,NA,VU,VU,Threatened,Threatened,NA,,Increasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,0.552973978,99.44702602,0.00,0.00,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,203,NA,NA,NA,NA,NA,203,NA,203,201.8774628,0.99447026,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 1 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (31),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Procellariiformes,Procellariidae,Magenta Petrel/Chatham Island Taiko/Chatham Taiko/Taiko,Pterodroma_magentae,Pterodroma_magentae,Pterodroma magentae,Pterodroma_magentae,NA,CR,CR,Threatened,Threatened,NA,,Increasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,2.132899628,97.86710037,0.00,0.00,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,NA,NA,NA,NA,NA,30,NA,30,29.36013011,0.978671004,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 1 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (32),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Charadriiformes,Laridae,Fairy Tern,Sternula_nereis/Sterna_nereis,Sternula_nereis,Sterna nereis,Sterna_nereis,NA,VU,VU,Threatened,Threatened,NA,,Decreasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,25.7527881,74.2472119,0.00,0.00,,,,NA,NA,NA,NA,0.247973266,1.77,NA,NA,NA,NA,NA,34,NA,34,NA,NA,NA,NA,60.18,NA,NA,60.18,44.68197212,0.742472119,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 1 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (33),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Psittaciformes,Strigopidae,Kakapo/Kākāpō,Strigops_habroptila/Strigops_habroptilus,Strigops_habroptila,Strigops habroptila,Strigops_habroptila,NA,CR,CR,Threatened,Threatened,NA,,Increasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,64.46096654,35.53903346,0.00,0.00,,,,NA,NA,NA,NA,0.356981401,2.275,NA,NA,NA,NA,NA,37,NA,37,NA,NA,NA,NA,84.175,NA,NA,84.175,29.91498141,0.355390335,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 1 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (34),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Passeriformes,Sturnidae,Common Starling/European Starling,Sturnus_vulgaris,Sturnus_vulgaris,Sturnus vulgaris,Sturnus_vulgaris,NA,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,Introduced Species,None,Natural,No,No,No,No,No,No,No,No,3.764805415,96.23519459,0.00,0.00,,,,NA,NA,NA,NA,0.708633321,5.1125,NA,NA,NA,NA,NA,173,NA,173,NA,NA,NA,NA,884.4625,NA,NA,884.4625,851.1642079,0.962351946,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 2 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (35),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Charadriiformes,Charadriidae,Shore Plover/Tuturuatu,Thinornis_novaeseelandiae,Thinornis_novaeseelandiae,Thinornis novaeseelandiae,Thinornis_novaeseelandiae,NA,EN,EN,Threatened,Threatened,NA,,Stable,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,21.40799257,78.59200743,0.00,0.00,,,,NA,NA,NA,NA,0.921686475,8.35,NA,NA,NA,NA,NA,21,NA,21,NA,NA,NA,NA,175.35,NA,NA,175.35,137.811085,0.785920074,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 1 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (36),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Passeriformes,Turdidae,Eurasian Blackbird,Turdus_merula,Turdus_merula,Turdus merula,Turdus_merula,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,Introduced Species,None,Natural,No,No,No,No,No,No,No,No,2.326565144,97.67343486,0.00,0.00,,,,NA,NA,NA,NA,0.593839661,3.925,NA,NA,NA,NA,NA,303,NA,303,NA,NA,NA,NA,1189.275,NA,NA,1189.275,1161.605742,0.976734349,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 2 using WebPlotDigitizer; individual sources not noted
Briskie & Mackintosh,2004,Briskie & Mackintosh 2004,Briskie & Mackintosh 2004 (37),Hatching failure increases with severity of population bottlenecks in birds,Proceedings of the National Academy of Sciences of the United States of America,9.412,National Academy of Sciences,﻿10.1073/pnas.0305103101,NA,NO,YES,YES,NA,NA,NA,Passeriformes,Turdidae,Song Thrush,Turdus_philomelos,Turdus_philomelos,Turdus philomelos,Turdus_philomelos,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,New Zealand,NA,-40.9006000,174.8860000,Wild,Unmanaged,Introduced Species,None,Natural,No,No,No,No,No,No,No,No,3.510998308,96.48900169,0.00,0.00,,,,NA,NA,NA,NA,0.619875609,4.1675,NA,NA,NA,NA,NA,197,NA,197,NA,NA,NA,NA,820.9975,NA,NA,820.9975,792.1722917,0.964890017,"Proportion of eggs in a nest that failed to hatch relative to the number present at hatching. Failed eggs include both unfertilized eggs as well as those that died as embryos. This measure excluded eggs that failed because of predation, desertion, or abiotic factors such as windstorms or floods.","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or abiotic factors such as windstorms or floods.",Not stated,Not stated,NA,"""﻿proportion of eggs failing to hatch in each nest was angular transformed, and the mean and 95% confidence limits were calculated on transformed values""",HS% and bottleneck size extracted from Figure 2 using WebPlotDigitizer; individual sources not noted
Burnett et al.,2013,Burnett et al. 2013,Burnett et al. 2013 (01),Eggshell thinning and depressed hatching success of California Condors reintroduced to central California,The Condor,2.628,Oxford University Press [American Ornithological Society],﻿10.1525/cond.2013.110150,NA,YES,YES,NO,2007,2009,3,Cathartiformes,Cathartidae,California Condor,Gymnogyps_californianus,Gymnogyps_californianus,Gymnogyps californianus,Gymnogyps_californianus,CR,CR,CR,Threatened,Threatened,NA,,Increasing,Central California,NA,36.5338360,-119.7109520,Wild managed,Managed,Reintroduced,Wild eggs removed for AI; Fostering captive-laid eggs into wild nests,Artificial,No,No,No,No,No,Yes,Yes,No,62.5,37.5,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,16,16,16,16,16,16,16,16,NA,NA,16,6,0.375,Not stated,Not stated,Not stated,NA,NA,NA,Affected by DDT,Hatching failure calculated from the text
Burnett et al.,2013,Burnett et al. 2013,Burnett et al. 2013 (02),Eggshell thinning and depressed hatching success of California Condors reintroduced to central California,The Condor,2.628,Oxford University Press [American Ornithological Society],﻿10.1525/cond.2013.110150,NA,YES,YES,NO,2006,2010,5,Cathartiformes,Cathartidae,California Condor,Gymnogyps_californianus,Gymnogyps_californianus,Gymnogyps californianus,Gymnogyps_californianus,CR,CR,CR,Threatened,Threatened,NA,,Increasing,"Southern California, USA",NA,34.1867310,-116.5468900,Wild managed,Managed,Reintroduced,Wild eggs removed for AI,Artificial,No,No,No,No,No,Yes,Yes,No,20,80,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,20,20,20,20,20,20,20,20,NA,NA,20,16,0.8,Not stated,Not stated,Not stated,NA,NA,NA,Affected by DDT,Hatching failure calculated from the text
Burton,2006,Burton 2006,Burton 2006,Nest orientation and hatching success in the tree pipit Anthus trivialis,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.2006.0908-8857.03822.x,Found in Stewart & Westneat (2013) Appendix 1,YES,YES,NO,1998,2004,7,Passeriformes,Motacillidae,Tree Pipit,Anthus_trivialis,Anthus_trivialis,Anthus trivialis,Anthus_trivialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Thetford Forest, England, UK","﻿52°28'N, 0°41'E",52.4666670,0.6833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6.285714286,93.71428571,0.00,0.00,,,,3-6 eggs,3,6,4.5,0.663229635,4.605,NA,NA,NA,NA,NA,36,NA,36,175,108,216,162,165.78,NA,NA,175,164,0.937142857,"""","Whether or not eggs present on the day of hatching produced nestlings (Koenig 1982, Hendricks & Norment 1994)",Probability of partial hatching failure AND Proportion of unhatched eggs in individual clutches,NA,NA,NA,,Hatching success not stated - calculated from text
Cardilini et al.,2013,Cardilini et al. 2013,Cardilini et al. 2013 (01),Surviving in sprawling suburbs: Suburban environments represent high quality breeding habitat for a widespread shorebird,Landscape and Urban Planning,5.441,Elsevier,﻿10.1016/j.landurbplan.2013.04.001,NA,YES,YES,NO,2010,2010,1,Charadriiformes,Charadriidae,Masked Lapwing,Vanellus_miles,Vanellus_miles,Vanellus miles,Vanellus_miles,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Phillip Island, southern Victoria, Australia","﻿38°28'32''S, 145°12'12''E",-38.4755560,145.2033330,Wild,Unmanaged,Suburban,None,Natural,No,No,No,No,No,No,No,No,7.317073171,92.68292683,0.00,0.00,,,,3.66 ± 0.07,3.59,3.73,3.66,0.587430322,3.8675,NA,22,NA,NA,NA,22,NA,22,82,78.98,82.06,80.52,85.085,NA,NA,82,76,0.926829268,Not stated,Not stated,Not stated,NA,NA,NA,,"Calculated HS % from text and Table 3 = hatched eggs and failed eggs with ""unknown"" cause = did not hatch and cause not abandonment, human interfernece, depredation, or curshing by stock"
Cardilini et al.,2013,Cardilini et al. 2013,Cardilini et al. 2013 (02),Surviving in sprawling suburbs: Suburban environments represent high quality breeding habitat for a widespread shorebird,Landscape and Urban Planning,5.441,Elsevier,﻿10.1016/j.landurbplan.2013.04.001,NA,YES,YES,NO,2010,2010,1,Charadriiformes,Charadriidae,Masked Lapwing,Vanellus_miles,Vanellus_miles,Vanellus miles,Vanellus_miles,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Phillip Island, southern Victoria, Australia","﻿38°28'32''S, 145°12'12''E",-38.4755560,145.2033330,Wild,Unmanaged,Agricultural,None,Natural,No,No,No,No,No,No,No,No,5,95,0.00,0.00,,,,3.63 ± 0.07,3.56,3.7,3.63,0.587430322,3.8675,NA,23,NA,NA,NA,23,NA,23,60,81.88,85.1,83.49,88.9525,NA,NA,60,57,0.95,Not stated,Not stated,Not stated,NA,NA,NA,,"Calculated HS % from text and Table 3 = hatched eggs and failed eggs with ""unknown"" cause = did not hatch and cause not abandonment, human interfernece, depredation, or curshing by stock"
Carey ,2011,Carey 2011,Carey 2011,Investigator disturbance reduces reproductive success in Short-tailed Shearwaters Puffinus tenuirostris,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2011.01109.x,NA,YES,YES,NO,2006,2007,2,Procellariiformes,Procellariidae,Short-tailed Shearwater,Ardenna_tenuirostris/Puffinus_tenuirostris,Ardenna_tenuirostris,Puffinus tenuirostris,Puffinus_tenuirostris,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Great Dog Island, Australia","﻿40°15'S, 148°15'E",-40.2500000,148.2500000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,11.62790698,88.37209302,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,43,NA,43,43,43,43,43,43,NA,NA,43,38,0.88372093,Not stated,Not stated,Not stated,NA,NA,NA,"﻿Eggs that failed to hatch were classified as infertile, predated or abandoned;﻿ Of eggs that failed to hatch, 6% were because they were either rotten or infertile",Recalculated HS % across all treatments from text and Table 1
Casas et al.,2009,Casas et al. 2009,Casas et al. 2009 (01),Double-nesting behaviour and sexual differences in breeding success in wild Red-legged Partridges Alectoris rufa,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2009.00958.x,NA,YES,YES,YES,2003,2007,4,Galliformes,Phasianidae,Red-legged Partridge,Alectoris_rufa,Alectoris_rufa,Alectoris rufa,Alectoris_rufa,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Campo de Calatrava, Central Spain","﻿38°50'N, 4°33'W",38.8333330,-4.5500000,Wild,Unmanaged,Male only incubation,None,Natural,No,No,No,No,No,No,No,No,25.11334077,74.88665923,NA,NA,,,,"14.46025105±(15.9665272-14.46025105), 11.0460251±(13.30543933-11.0460251),13.93305439±(14.78661088-13.93305439)",11.60669456,14.68619247,13.14644351,1.091227166,12.3375,NA,NA,NA,NA,NA,NA,23,23,NA,266.9539748,337.7824268,302.3682008,283.7625,NA,NA,302.3682008,226.4334442,0.748866592,"""",Proportion of eggs hatched in successful nests,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,﻿Excluded eggs losses due to partial (< 20% of eggs) predation of clutches,"Data extracted from Figure 1 using WebPlotDigitizer - mean taken across 3 seasons, weighted by number of clutches"
Casas et al.,2009,Casas et al. 2009,Casas et al. 2009 (02),Double-nesting behaviour and sexual differences in breeding success in wild Red-legged Partridges Alectoris rufa,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2009.00958.x,NA,YES,YES,YES,2003,2007,4,Galliformes,Phasianidae,Red-legged Partridge,Alectoris_rufa,Alectoris_rufa,Alectoris rufa,Alectoris_rufa,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Campo de Calatrava, Central Spain","﻿38°50'N, 4°33'W",38.8333330,-4.5500000,Wild,Unmanaged,Female only incubation,None,Natural,No,No,No,No,No,No,No,No,4.590964591,95.40903541,NA,NA,,,,"11.07112971±(11.69874477-11.07112971), 9.514644351±(10.19246862-9.514644351), 10.19246862±(9.238493724-10.19246862), 9.238493724±(12.37656904-9.238493724)",9.131799164,10.87656904,10.0041841,1.091227166,12.3375,NA,NA,NA,NA,NA,NA,42,42,NA,383.5355649,456.8158996,420.1757323,518.175,NA,NA,420.1757323,400.8856132,0.954090354,"""",Proportion of eggs hatched in successful nests,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,﻿Excluded eggs losses due to partial (< 20% of eggs) predation of clutches,"Data extracted from Figure 1 using WebPlotDigitizer - mean taken across 4 seasons, weighted by number of clutches"
Chiarani & Fontana,2015,Chiarani & Fontana 2015,Chiarani & Fontana 2015,Breeding biology of the Lesser Grass-Finch (Emberizoides ypiranganus) in southern Brazilian upland grasslands,The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/14-137.1,NA,YES,NO,NO,2012,2014,2,Passeriformes,Thraupidae,Lesser Grass-finch/Lesser Grass Finch,Emberizoides_ypiranganus,Emberizoides_ypiranganus,Emberizoides ypiranganus,Emberizoides_ypiranganus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Parque Estadual do Tainhas, northeastern Rio Grande do Sul State, Brazil","29°05'58''S, 50°21'50''W",-29.0994440,-50.3638890,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6,94,0.00,0.00,,,,2.7 ± 0.5,2.2,3.2,2.7,NA,NA,NA,NA,NA,NA,NA,59,NA,59,154,129.8,188.8,159.3,NA,NA,NA,154,144.76,0.94,NA,NA,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation [Hatching Rate]",NA,NA,"[Hatching Rate] Ratio between the number of eggs hatched and the total number of eggs that were in the nest at the time of hatching multiplied by 100, discarding those nests that were depredated or abandoned at the egg stage",,Collected unhatched eggs but only to measure
Chin et al.,2017,Chin et al. 2017,Chin et al. 2017 (01),"Mercury alters initiation and construction of nests by zebra finches, but not incubation or provisioning behaviors",Ecotoxicology,2.535,Springer,﻿10.1007/s10646-017-1852-x,NA,YES,YES,NO,NA,NA,NA,Passeriformes,Estrildidae,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,Taeniopygia guttata,Taeniopygia_guttata,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Captive,Managed,,Captive,Natural,Yes,Yes,No,No,No,No,No,No,14.06491499,85.93508501,6.34,NA,,,,4,4,4,4,0.658964843,4.56,Control parents incubated eggs from other control parents,NA,NA,NA,NA,NA,13,13,NA,52,52,52,59.28,NA,NA,52,44.68624421,0.85935085,"""",Number of hatchings divided by four,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,,HS% extracted from Figure 6 using WebPlotDigitizer
Chin et al.,2017,Chin et al. 2017,Chin et al. 2017 (02),"Mercury alters initiation and construction of nests by zebra finches, but not incubation or provisioning behaviors",Ecotoxicology,2.535,Springer,﻿10.1007/s10646-017-1852-x,NA,YES,YES,NO,NA,NA,NA,Passeriformes,Estrildidae,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,Taeniopygia guttata,Taeniopygia_guttata,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Captive,Managed,,Captive,Natural,Yes,Yes,No,No,No,No,No,No,38.63987635,61.36012365,8.19,NA,,,,4,4,4,4,0.658964843,4.56,Control parents incubated eggs from mercury-exposed parents,NA,NA,NA,NA,NA,15,15,NA,60,60,60,68.4,NA,NA,60,36.81607419,0.613601236,"""",Number of hatchings divided by four,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,,HS% extracted from Figure 6 using WebPlotDigitizer
Chin et al.,2017,Chin et al. 2017,Chin et al. 2017 (03),"Mercury alters initiation and construction of nests by zebra finches, but not incubation or provisioning behaviors",Ecotoxicology,2.535,Springer,﻿10.1007/s10646-017-1852-x,NA,YES,YES,NO,NA,NA,NA,Passeriformes,Estrildidae,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,Taeniopygia guttata,Taeniopygia_guttata,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Captive,Managed,,Captive,Natural,Yes,Yes,No,No,No,No,No,No,17.31066461,82.68933539,5.26,NA,,,,4,4,4,4,0.658964843,4.56,Mercury-exposed parents incubated eggs from control parents,NA,NA,NA,NA,NA,13,13,NA,52,52,52,59.28,NA,NA,52,42.9984544,0.826893354,"""",Number of hatchings divided by four,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,,HS% extracted from Figure 6 using WebPlotDigitizer
Chin et al.,2017,Chin et al. 2017,Chin et al. 2017 (04),"Mercury alters initiation and construction of nests by zebra finches, but not incubation or provisioning behaviors",Ecotoxicology,2.535,Springer,﻿10.1007/s10646-017-1852-x,NA,YES,YES,NO,NA,NA,NA,Passeriformes,Estrildidae,Timor Zebra Finch/Zebra Finch,Taeniopygia_guttata,Taeniopygia_guttata,Taeniopygia guttata,Taeniopygia_guttata,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Captive,Managed,,Captive,Natural,Yes,Yes,No,No,No,No,No,No,42.9675425,57.0324575,9.58,NA,,,,4,4,4,4,0.658964843,4.56,Mercury-exposed parents incubated eggs from mercury-exposed parents,NA,NA,NA,NA,NA,13,13,NA,52,52,52,59.28,NA,NA,52,29.6568779,0.570324575,"""",Number of hatchings divided by four,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,,HS% extracted from Figure 6 using WebPlotDigitizer
Cichón et al.,2005,Cichón et al. 2005,Cichón et al. 2005 (01),"Male-biased sex ratio among unhatched eggs in great tit Parus major, blue tit P. caeruleus and collared flycatcher Ficedula albicollis",Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.0908-8857.2005.03589.x,Found in Stewart & Westneat 2013 Appendix 2,YES,YES,YES,2001,2003,3,Passeriformes,Paridae,Eurasian Blue Tit,Cyanistes_caeruleus/Parus_caeruleus,Cyanistes_caeruleus,Parus caeruleus,Parus_caeruleus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Gotland, Sweden",NA,57.3706230,18.6993760,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,1.97611229,98.02388771,0.00,0.00,,,,"10.0 ± 1.71, 11.9 ± 1.51, 10.6 ± 1.71",9.19,12.47666667,10.83333333,0.890001613,7.7625,NA,NA,NA,NA,NA,320,NA,320,3441.1,2940.8,3992.533333,3466.666667,2484,NA,NA,3441.1,3373.1,0.980238877,Not stated,Not stated,Not stated,Not stated,Not stated,NA,60% unhatched embryos = male; 14.71% unhatched eggs 'unfertilised',Mean hatching failure (weighted by number of nests) calculated from Table 1; N.B. unhatched eggs not collected from all nests
